dataset,observable,input_val,ideal_energy,grad_param_0,grad_param_1,grad_param_2,grad_param_3,grad_param_4,grad_param_5,grad_param_6,grad_param_7,grad_param_8,grad_param_9,grad_param_10,grad_param_11
single_01,IIII,2.6999999999999726,1.0,4.440892098500626e-16,0.0,0.0,-4.440892098500626e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0
single_01,IIII,2.7999999999999723,0.9999999999999998,4.440892098500626e-16,2.220446049250313e-16,0.0,4.440892098500626e-16,0.0,2.220446049250313e-16,-6.661338147750939e-16,2.220446049250313e-16,-2.220446049250313e-16,0.0,2.220446049250313e-16,4.440892098500626e-16
single_01,IIII,2.899999999999972,0.9999999999999996,-2.220446049250313e-16,4.440892098500626e-16,0.0,-2.220446049250313e-16,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,-2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
single_01,IIII,2.9999999999999716,1.0,4.440892098500626e-16,-4.440892098500626e-16,0.0,0.0,0.0,-2.220446049250313e-16,-4.440892098500626e-16,-2.220446049250313e-16,4.440892098500626e-16,-4.440892098500626e-16,0.0,4.440892098500626e-16
single_01,IIII,3.0999999999999712,0.9999999999999998,-4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16
single_01,IIII,3.199999999999971,0.9999999999999991,0.0,-2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-15,-2.220446049250313e-16,0.0,6.661338147750939e-16,0.0,-2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,2.220446049250313e-16
single_01,IIII,3.2999999999999705,0.9999999999999998,-2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,-4.440892098500626e-16,-6.661338147750939e-16,-2.220446049250313e-16,-4.440892098500626e-16,2.220446049250313e-16,-2.220446049250313e-16,0.0
single_01,IIII,3.39999999999997,1.0000000000000013,0.0,0.0,-4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0
single_01,IIII,3.49999999999997,0.9999999999999998,6.661338147750939e-16,-2.220446049250313e-16,-2.220446049250313e-16,4.440892098500626e-16,0.0,-2.220446049250313e-16,2.220446049250313e-16,-4.440892098500626e-16,2.220446049250313e-16,-4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16
single_01,IIII,3.5999999999999694,1.0000000000000009,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,4.440892098500626e-16,0.0,4.440892098500626e-16,0.0
